Expiry,Strike,Last Price,Bid,Ask,Volume_x,Open Interest,Time_to_Maturity,Option_Price,Date,Open,High,Low,Close,Volume_y,Dividends,Stock Splits,Log_Return,Volatility
2024-06-21,68.0,83.56,103.75,105.15,5.0,44,0.0136892539356605,83.56,2010-02-03 00:00:00-05:00,13.214813706010592,13.550513739526124,13.203815205433225,13.518518447875977,119844036,0.0,0.0,0.018098492214854933,0.2695379325255934
2024-06-21,69.0,60.25,58.0,63.0,16.0,68,0.0136892539356605,60.25,2010-02-04 00:00:00-05:00,13.423033307960058,13.448029035371734,13.137075137270523,13.16757106781006,134972892,0.0,0.0,-0.026303412778108638,0.2774199175599593
2024-06-21,70.0,106.05,105.6,107.2,1.0,14,0.0136892539356605,106.05,2010-02-05 00:00:00-05:00,13.20806401840486,13.335546035456256,13.059587114963373,13.280303955078123,126113760,0.0,0.0,0.008524962395509815,0.2754796557071716
2024-06-21,71.0,103.7,104.6,106.2,61.0,0,0.0136892539356605,103.7,2010-02-08 00:00:00-05:00,13.310548953381277,13.548015018952473,13.286302908593608,13.334794998168944,107664228,0.0,0.0,0.004094752330180238,0.27044358680190334
2024-06-21,72.0,104.25,103.6,105.2,10.0,0,0.0136892539356605,104.25,2010-02-09 00:00:00-05:00,13.486523386830388,13.536266216509055,13.374789440374323,13.409034729003906,112671216,0.0,0.0,0.005551928971192243,0.26512136986565427
2024-06-21,72.5,71.02,77.4,80.15,1.0,0,0.0136892539356605,71.02,2010-02-10 00:00:00-05:00,13.349793845716968,13.442780045512023,13.190316535622316,13.359292984008787,106873020,0.0,0.0,-0.0037164669217792053,0.2648143073280167
2024-06-21,73.0,103.2,102.6,104.2,8.0,0,0.0136892539356605,103.2,2010-02-11 00:00:00-05:00,13.33104577298447,13.510270084004,13.23556000282573,13.408034324645996,96303600,0.0,0.0,0.0036418573992863476,0.26274688587804684
2024-06-21,74.0,81.0,101.9,102.45,4.0,139,0.0136892539356605,81.0,2010-02-12 00:00:00-05:00,13.322298537211148,13.426782390283996,13.260556996098718,13.32604694366455,91096812,0.0,0.0,-0.0061335669023570155,0.26277144807306546
2024-06-21,75.0,105.0,100.6,102.2,10.0,85,0.0136892539356605,105.0,2010-02-16 00:00:00-05:00,13.419783840227494,13.601257200219582,13.35554272612404,13.530517578125,146029824,0.0,0.0,0.015227158715787278,0.26989977764037393
2024-06-21,76.0,99.91,99.6,101.2,4.0,0,0.0136892539356605,99.91,2010-02-17 00:00:00-05:00,13.548015586047018,13.583010556567144,13.438281105305345,13.45327854156494,81106812,0.0,0.0,-0.0057248614813330614,0.26600221772879945
2024-06-21,77.0,94.75,98.6,100.2,1.0,0,0.0136892539356605,94.75,2010-02-18 00:00:00-05:00,13.436530937610964,13.623253968625102,13.401535967810403,13.578510284423828,93382524,0.0,0.0,0.009265582799807923,0.2633323703348053
2024-06-21,77.5,51.21,55.05,60.0,66.0,79,0.0136892539356605,51.21,2010-02-19 00:00:00-05:00,13.511270445252602,13.598756440875686,13.490523230123513,13.517019271850586,102021876,0.0,0.0,-0.004538838630961601,0.2615005100989039
2024-06-21,78.0,50.8,54.55,59.5,48.0,161,0.0136892539356605,50.8,2010-02-22 00:00:00-05:00,13.681744701598186,13.685495013263449,13.52301897595743,13.568012237548828,85698216,0.0,0.0,0.0037654027413494043,0.2612652328790799
