Expiry,Strike,Last Price,Bid,Ask,Volume,Open Interest,Time_to_Maturity,Option_Price,Log_Return,Volatility
2024-06-21,85.0,91.41,91.6,93.2,2.0,8,0.0136892539356605,91.41,0.4218440001922041,5.262375607167881
2024-06-21,86.0,65.5,58.1,61.2,4.0,178,0.0136892539356605,65.5,-0.33330473902452107,5.266612485051923
2024-06-21,87.0,87.86,89.6,91.2,20.0,45,0.0136892539356605,87.86,0.2936944959064272,5.23702318078666
2024-06-21,87.5,87.2,88.15,90.7,1.0,21,0.0136892539356605,87.2,-0.007540307632699469,4.843705894864718
2024-06-21,88.0,60.82,65.7,69.05,1.0,75,0.0136892539356605,60.82,-0.36028564866571533,4.994283335366003
2024-06-21,89.0,50.48,51.55,53.15,4.0,113,0.0136892539356605,50.48,-0.18634146401626087,5.023473902476207
2024-06-21,90.0,86.15,86.6,88.2,2.0,269,0.0136892539356605,86.15,0.534512744740981,5.222263622727809
2024-06-21,91.0,44.29,63.8,65.7,2.0,311,0.0136892539356605,44.29,-0.6653310450388319,5.539222155000991
2024-06-21,92.0,78.2,84.6,86.2,1.0,197,0.0136892539356605,78.2,0.5685107296161587,5.868961317316082
2024-06-21,92.5,82.55,83.2,85.7,10.0,144,0.0136892539356605,82.55,0.054134522814871605,5.796472518759175
2024-06-21,93.0,82.07,83.6,85.2,10.0,563,0.0136892539356605,82.07,-0.005831628724516826,5.79481814377058
2024-06-21,94.0,77.7,81.65,84.2,1.0,104,0.0136892539356605,77.7,-0.054717284268018376,5.794981475375257
2024-06-21,95.0,81.23,81.6,83.2,5.0,352,0.0136892539356605,81.23,0.04442937968926065,5.360242169194206
2024-06-21,96.0,59.35,78.4,81.4,1.0,418,0.0136892539356605,59.35,-0.31383251600718554,5.485030014086816
2024-06-21,97.0,75.87,79.6,81.2,5.0,459,0.0136892539356605,75.87,0.2455692282943065,5.457219246385031
