Expiry,Strike,Last Price,Bid,Ask,Volume,Open Interest,Time_to_Maturity,Option_Price
2024-06-21,135.0,41.7,41.65,43.25,195.0,4162,0.013689253935660506,41.7
2024-06-21,137.5,39.03,38.2,40.75,1.0,7977,0.013689253935660506,39.03
2024-06-21,140.0,36.9,36.65,37.3,137.0,11367,0.013689253935660506,36.9
2024-06-21,142.5,34.25,34.15,34.8,4.0,4797,0.013689253935660506,34.25
2024-06-21,145.0,32.0,31.65,32.3,55.0,5967,0.013689253935660506,32.0
2024-06-21,147.5,29.0,28.2,29.8,2.0,9305,0.013689253935660506,29.0
2024-06-21,150.0,26.75,25.7,27.3,95.0,8267,0.013689253935660506,26.75
2024-06-21,152.5,24.21,23.2,24.8,43.0,4833,0.013689253935660506,24.21
2024-06-21,155.0,21.78,21.3,22.3,80.0,9476,0.013689253935660506,21.78
2024-06-21,157.5,18.87,18.25,19.8,5.0,9211,0.013689253935660506,18.87
2024-06-21,160.0,16.8,15.75,17.35,156.0,14337,0.013689253935660506,16.8
2024-06-21,162.5,13.98,13.4,14.85,10.0,4425,0.013689253935660506,13.98
2024-06-21,165.0,12.01,10.1,12.4,78.0,6840,0.013689253935660506,12.01
2024-06-21,167.5,9.36,9.45,9.75,29.0,955,0.013689253935660506,9.36
2024-06-21,170.0,7.02,6.8,7.45,599.0,25556,0.013689253935660506,7.02
2024-06-21,172.5,4.95,4.9,5.1,165.0,2647,0.013689253935660506,4.95
2024-06-21,175.0,3.04,3.0,3.1,3075.0,15134,0.013689253935660506,3.04
2024-06-21,177.5,1.65,1.61,1.65,7420.0,5997,0.013689253935660506,1.65
2024-06-21,180.0,0.74,0.74,0.75,22131.0,18566,0.013689253935660506,0.74
2024-06-21,182.5,0.29,0.23,0.3,1915.0,5360,0.013689253935660506,0.29
2024-06-21,185.0,0.11,0.1,0.12,4396.0,13962,0.013689253935660506,0.11
2024-06-21,187.5,0.05,0.05,0.07,186.0,2229,0.013689253935660506,0.05
2024-06-21,190.0,0.04,0.03,0.05,382.0,9092,0.013689253935660506,0.04
2024-06-21,192.5,0.02,0.02,0.04,39.0,535,0.013689253935660506,0.02
2024-06-21,195.0,0.03,0.02,0.03,57.0,6097,0.013689253935660506,0.03
2024-06-21,197.5,0.01,0.01,0.03,14.0,277,0.013689253935660506,0.01
2024-06-21,200.0,0.02,0.01,0.03,120.0,10046,0.013689253935660506,0.02
2024-06-21,205.0,0.02,0.01,0.03,10.0,2317,0.013689253935660506,0.02
2024-06-21,210.0,0.02,0.0,0.03,107.0,4920,0.013689253935660506,0.02
2024-06-21,215.0,0.02,0.0,0.02,54.0,2528,0.013689253935660506,0.02
2024-06-21,220.0,0.02,0.0,0.02,23.0,3700,0.013689253935660506,0.02
2024-06-21,225.0,0.01,0.0,0.01,7.0,13428,0.013689253935660506,0.01
2024-06-21,230.0,0.01,0.0,0.01,6.0,1173,0.013689253935660506,0.01
2024-06-21,235.0,0.01,0.0,0.07,60.0,1956,0.013689253935660506,0.01
2024-06-21,240.0,0.02,0.0,0.07,1.0,1632,0.013689253935660506,0.02
2024-06-21,245.0,0.02,0.0,0.01,1.0,268,0.013689253935660506,0.02
2024-06-21,250.0,0.02,0.0,0.02,7.0,513,0.013689253935660506,0.02
2024-06-21,255.0,0.01,0.0,0.01,89.0,1709,0.013689253935660506,0.01
2024-06-21,260.0,0.01,0.0,0.01,15.0,1774,0.013689253935660506,0.01
2024-06-21,265.0,0.01,0.0,0.01,8.0,5621,0.013689253935660506,0.01
2024-06-21,270.0,0.01,0.0,0.01,45.0,115,0.013689253935660506,0.01
2024-06-21,275.0,0.01,0.0,0.01,5.0,25,0.013689253935660506,0.01
2024-06-21,280.0,0.01,0.0,0.02,,10,0.013689253935660506,0.01
2024-06-21,290.0,0.01,0.0,0.01,,100,0.013689253935660506,0.01
2024-06-21,295.0,0.01,0.0,0.01,,160,0.013689253935660506,0.01
2024-06-21,300.0,0.01,0.0,0.02,1.0,291,0.013689253935660506,0.01
2024-06-21,1120.0,1233.0,0.0,0.0,2.0,2,0.013689253935660506,1233.0
